	Package	Version	Source
abind	abind	1.4-5	CRAN (R 4.2.2)
affy	affy	1.76.0	Bioconductor
affyio	affyio	1.68.0	Bioconductor
annotate	annotate	1.76.0	Bioconductor
AnnotationDbi	AnnotationDbi	1.60.2	Bioconductor
AnnotationFilter	AnnotationFilter	1.22.0	Bioconductor
AnnotationHub	AnnotationHub	3.6.0	Bioconductor
antiword	antiword	1.3.1	CRAN (R 4.2.2)
ape	ape	5.7-1	CRAN (R 4.2.2)
aplot	aplot	0.2.0	CRAN (R 4.2.2)
askpass	askpass	1.1	CRAN (R 4.2.2)
assertthat	assertthat	0.2.1	CRAN (R 4.2.2)
backports	backports	1.4.1	CRAN (R 4.2.2)
base	base	4.2.2	local
base64enc	base64enc	0.1-3	CRAN (R 4.2.2)
bayestestR	bayestestR	0.13.1	CRAN (R 4.2.2)
beachmat	beachmat	2.14.2	Bioconductor
beeswarm	beeswarm	0.4.0	CRAN (R 4.2.2)
benchmarkme	benchmarkme	1.0.8	CRAN (R 4.2.2)
benchmarkmeData	benchmarkmeData	1.0.4	CRAN (R 4.2.2)
BH	BH	1.81.0-1	CRAN (R 4.2.2)
BiasedUrn	BiasedUrn	2.0.11	CRAN (R 4.2.2)
Biobase	Biobase	2.58.0	Bioconductor
BiocFileCache	BiocFileCache	2.6.1	Bioconductor
BiocGenerics	BiocGenerics	0.44.0	Bioconductor
BiocIO	BiocIO	1.8.0	Bioconductor
BiocManager	BiocManager	1.30.22	CRAN (R 4.2.2)
BiocNeighbors	BiocNeighbors	1.16.0	Bioconductor
BiocParallel	BiocParallel	1.32.6	Bioconductor
BiocSingular	BiocSingular	1.14.0	Bioconductor
BiocVersion	BiocVersion	3.16.0	Bioconductor
biocViews	biocViews	1.66.3	Bioconductor
biomaRt	biomaRt	2.54.1	Bioconductor
Biostrings	Biostrings	2.66.0	Bioconductor
bit	bit	4.0.5	CRAN (R 4.2.2)
bit64	bit64	4.0.5	CRAN (R 4.2.2)
bitops	bitops	1.0-7	CRAN (R 4.2.2)
blob	blob	1.2.4	CRAN (R 4.2.2)
bmp	bmp	0.3	CRAN (R 4.2.2)
boot	boot	1.3-28.1	CRAN (R 4.2.2)
boot	boot	1.3-28.1	CRAN (R 4.2.2)
brew	brew	1.0-8	CRAN (R 4.2.2)
brio	brio	1.1.3	CRAN (R 4.2.2)
broom	broom	1.0.5	CRAN (R 4.2.2)
bslib	bslib	0.5.1	CRAN (R 4.2.2)
cachem	cachem	1.0.8	CRAN (R 4.2.2)
Cairo	Cairo	1.6-1	CRAN (R 4.2.2)
